,,Negative Sentiment,,,Neutral Sentiment,,,Positive Sentiment,,
Model Name,Accuracy ,F1 Score,Precision,Recall,F1 Score,Precision,Recall,F1 Score,Precision,Recall
w2v+lstm,86.8283212184906,0.87480273540242,0.860766045548654,0.889304812834225,0.594788858939802,0.663326653306613,0.539087947882736,0.718137254901961,0.787634408602151,0.65990990990991
w2v+gru,80.4075658321381,0.794672586015538,0.825836216839677,0.765775401069519,0.102564102564103,0.693877551020408,0.055374592833876,0.391167192429022,0.652631578947368,0.279279279279279
w2v+bidirectional,87.1812522411346,0.875193398659103,0.845119521912351,0.907486631016043,0.607547169811321,0.721973094170404,0.52442996742671,0.708762886597938,0.828313253012048,0.619369369369369
sswe+lstm,85.5191111564636,0.862023653088042,0.847545219638243,0.877005347593583,0.533203125,0.665853658536585,0.444625407166124,0.688296639629201,0.708830548926014,0.668918918918919
sswe+gru,77.4248719215393,0.727995457126633,0.776029055690073,0.685561497326203,0.055900621118013,0.6,0.029315960912052,0.310743801652893,0.583850931677019,0.211711711711712
sswe+bidirectional,83.7773203849793,0.84794728839331,0.805876685934489,0.894652406417112,0.42128121606949,0.631921824104234,0.315960912052117,0.6,0.765734265734266,0.493243243243243
glove+lstm,86.4526450634003,0.868589743589743,0.867662753468517,0.86951871657754,0.585046728971963,0.68640350877193,0.509771986970684,0.720264317180617,0.704741379310345,0.736486486486487
glove+gru,79.3374419212341,0.75801749271137,0.833333333333333,0.695187165775401,0.169491525423729,0.638297872340426,0.09771986970684,0.339434276206323,0.64968152866242,0.22972972972973
glove+bidirectional,86.3729238510132,0.868972746331237,0.852004110996917,0.886631016042781,0.546733668341709,0.713910761154856,0.44299674267101,0.711267605633803,0.742647058823529,0.682432432432432
